Variable,Full Name,Category,Input Signal,Formula,Unit,Description,Clinical Relevance
mean_x,Mean of X-axis acceleration,Temporal,x(t),mean(x),g,Average acceleration along the medio-lateral axis over the 10-second window,Reflects the average medio-lateral body displacement; deviations from zero indicate asymmetric movement patterns
mean_y,Mean of Y-axis acceleration,Temporal,y(t),mean(y),g,Average acceleration along the vertical axis over the 10-second window,Reflects gravitational offset and average vertical body displacement during walking
mean_z,Mean of Z-axis acceleration,Temporal,z(t),mean(z),g,Average acceleration along the antero-posterior axis over the 10-second window,Captures average forward progression dynamics during gait
mean_mag,Mean of acceleration magnitude,Temporal,"x(t), y(t), z(t)",mean(sqrt(x²+y²+z²)),g,Average resultant acceleration magnitude across all three axes,Represents the overall average movement intensity; increases with walking speed
std_x,Standard deviation of X-axis acceleration,Temporal,x(t),std(x),g,Dispersion of medio-lateral acceleration values around the mean,Elevated values indicate increased lateral instability or asymmetric arm swing
std_y,Standard deviation of Y-axis acceleration,Temporal,y(t),std(y),g,Dispersion of vertical acceleration values around the mean,Sensitive to stride-to-stride amplitude irregularity; among the top-ranked features for gait classification
std_z,Standard deviation of Z-axis acceleration,Temporal,z(t),std(z),g,Dispersion of antero-posterior acceleration values around the mean,Captures variability in the forward propulsion component of gait
std_mag,Standard deviation of acceleration magnitude,Temporal,"x(t), y(t), z(t)",std(sqrt(x²+y²+z²)),g,Dispersion of the resultant acceleration magnitude,Overall signal variability; higher in fast or irregular walking patterns
var_x,Variance of X-axis acceleration,Temporal,x(t),var(x),g²,Squared dispersion of medio-lateral acceleration,Amplifies large deviations in lateral motion; useful for detecting asymmetry
var_y,Variance of Y-axis acceleration,Temporal,y(t),var(y),g²,Squared dispersion of vertical acceleration,Captures magnitude of vertical oscillation variability across strides
var_z,Variance of Z-axis acceleration,Temporal,z(t),var(z),g²,Squared dispersion of antero-posterior acceleration,Reflects consistency of the forward propulsion across steps
var_mag,Variance of acceleration magnitude,Temporal,"x(t), y(t), z(t)",var(sqrt(x²+y²+z²)),g²,Squared dispersion of resultant acceleration magnitude,Top-ranked feature for gait classification; captures overall stride-to-stride motion variability
range_x,Range of X-axis acceleration,Temporal,x(t),max(x) - min(x),g,Peak-to-peak amplitude of medio-lateral acceleration,Reflects the total excursion of lateral body sway during the window
