Variable,Formula,Description,Clinical Relevance
mean_x,mean(x),Mean of X-axis acceleration,Reflects average medio-lateral body displacement during walking
mean_y,mean(y),Mean of Y-axis acceleration,Reflects average vertical body displacement during walking
mean_z,mean(z),Mean of Z-axis acceleration,Reflects average antero-posterior body displacement during walking
mean_mag,mean(sqrt(x²+y²+z²)),Mean of acceleration magnitude,Overall average movement intensity across all axes
std_x,std(x),Standard deviation of X-axis,Variability of medio-lateral acceleration; increases with irregular gait
std_y,std(y),Standard deviation of Y-axis,Variability of vertical acceleration; sensitive to stride irregularity
std_z,std(z),Standard deviation of Z-axis,Variability of antero-posterior acceleration
std_mag,std(sqrt(x²+y²+z²)),Standard deviation of magnitude,Overall signal variability; higher in fast or irregular walking
var_x,var(x),Variance of X-axis acceleration,Squared dispersion of medio-lateral motion
var_y,var(y),Variance of Y-axis acceleration,Squared dispersion of vertical motion; sensitive to step amplitude changes
var_z,var(z),Variance of Z-axis acceleration,Squared dispersion of antero-posterior motion
var_mag,var(sqrt(x²+y²+z²)),Variance of acceleration magnitude,Overall motion variability; top-ranked feature for gait discrimination
range_x,max(x) - min(x),Range of X-axis,Peak-to-peak amplitude of medio-lateral oscillation
range_y,max(y) - min(y),Range of Y-axis,Peak-to-peak amplitude of vertical oscillation per window
range_z,max(z) - min(z),Range of Z-axis,Peak-to-peak amplitude of antero-posterior oscillation
range_mag,max(mag) - min(mag),Range of magnitude,Total amplitude excursion of resultant acceleration
max_x,max(x),Maximum X-axis value,Peak medio-lateral acceleration
max_y,max(y),Maximum Y-axis value,Peak vertical acceleration
max_z,max(z),Maximum Z-axis value,Peak antero-posterior acceleration
max_mag,max(sqrt(x²+y²+z²)),Maximum magnitude,Peak overall acceleration intensity
min_x,min(x),Minimum X-axis value,Trough of medio-lateral acceleration
min_y,min(y),Minimum Y-axis value,Trough of vertical acceleration
min_z,min(z),Minimum Z-axis value,Trough of antero-posterior acceleration
min_mag,min(sqrt(x²+y²+z²)),Minimum magnitude,Trough of overall acceleration intensity
